incident_id,issue_category,description,reported_date,status,resolution_date,change_request_flag,incident_cluster
INC0001,System Error,system error observed in study reports,2025-03-14,Closed,2025-03-17,Y,1
INC0002,System Error,system error observed in study reports,2025-01-17,Closed,2025-01-22,Y,1
INC0003,System Error,system error observed in study reports,2025-03-14,Closed,2025-03-16,N,1
INC0004,Missing Data Export,missing data export observed in study reports,2024-12-29,Open,,N,2
INC0005,System Error,system error observed in study reports,2024-12-23,Open,,Y,1
INC0006,Report Logic,report logic observed in study reports,2025-01-27,Closed,2025-01-31,N,0
INC0007,System Error,system error observed in study reports,2025-02-22,Open,,N,1
INC0008,System Error,system error observed in study reports,2025-01-02,Closed,2025-01-06,N,1
INC0009,Report Logic,report logic observed in study reports,2025-02-20,Closed,2025-02-27,N,0
INC0010,Report Logic,report logic observed in study reports,2025-01-25,Open,,N,0
INC0011,Report Logic,report logic observed in study reports,2024-12-28,Open,,N,0
INC0012,Report Logic,report logic observed in study reports,2025-01-14,Open,,Y,0
INC0013,Report Logic,report logic observed in study reports,2025-01-18,Open,,Y,0
INC0014,Missing Data Export,missing data export observed in study reports,2025-01-20,Open,,Y,2
INC0015,System Error,system error observed in study reports,2025-03-15,Closed,2025-03-17,Y,1
INC0016,Missing Data Export,missing data export observed in study reports,2025-02-16,Closed,2025-02-25,Y,2
INC0017,System Error,system error observed in study reports,2025-03-17,Closed,2025-03-24,N,1
INC0018,Missing Data Export,missing data export observed in study reports,2024-12-19,Closed,2024-12-20,Y,2
INC0019,Report Logic,report logic observed in study reports,2024-12-28,Closed,2025-01-05,N,0
INC0020,Missing Data Export,missing data export observed in study reports,2025-01-01,Closed,2025-01-04,N,2
INC0021,Report Logic,report logic observed in study reports,2025-01-27,Open,,N,0
INC0022,Missing Data Export,missing data export observed in study reports,2024-12-31,Open,,Y,2
INC0023,System Error,system error observed in study reports,2025-01-13,Closed,2025-01-15,N,1
INC0024,Missing Data Export,missing data export observed in study reports,2025-03-13,Open,,N,2
INC0025,Missing Data Export,missing data export observed in study reports,2025-01-17,Open,,Y,2
INC0026,Report Logic,report logic observed in study reports,2025-02-21,Closed,2025-02-25,Y,0
INC0027,System Error,system error observed in study reports,2025-02-24,Open,,N,1
INC0028,System Error,system error observed in study reports,2024-12-20,Open,,Y,1
INC0029,Missing Data Export,missing data export observed in study reports,2025-02-15,Open,,N,2
INC0030,Report Logic,report logic observed in study reports,2025-02-14,Closed,2025-02-22,N,0
