site_id,site_name,country,principal_investigator,site_activation_date
S001,Washington Ltd,Palau,Cody Hernandez,2025-01-20
S002,Shaw-Bowen,Paraguay,Natasha Williams,2025-01-04
S003,Moore-Hayes,Swaziland,Blake Wade,2025-01-09
S004,Davis LLC,Syrian Arab Republic,Kevin Miller,2025-01-29
S005,"Dickson, Duke and Serrano",Montenegro,Paul Taylor,2025-01-29
S006,"Jackson, Schmidt and Foster",Syrian Arab Republic,Michael Jackson,2025-01-01
S007,Grimes Group,Colombia,David Murray,2025-01-13
S008,"Downs, Reed and Matthews",Cambodia,Joshua Oneal,2025-01-17
S009,Donovan Inc,Norfolk Island,James Reyes,2025-01-24
S010,Thomas PLC,Mozambique,Jasmine Dennis,2025-01-01
